"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
269.563798204712,265.714561338185,273.41303507124,263.676898426979,275.450697982445
269.697603733643,264.253960752213,275.141246715073,261.372270227642,278.022937239645
269.831409262574,263.164335439381,276.498483085767,259.634999748474,280.027818776674
269.965214791505,262.26674105845,277.663688524561,258.191415236039,281.739014346972
270.099020320436,261.491865025382,278.706175615491,256.935512240696,283.262528400176
270.232825849367,260.804159627265,279.66149207147,255.812925227017,284.652726471717
270.366631378298,260.182507892084,280.550754864512,254.791358573255,285.941904183342
270.500436907229,259.613150944369,281.387722870089,253.849769895226,287.151103919232
270.63424243616,259.086531836577,282.181953035743,252.973543102961,288.29494176936
270.768047965091,258.595692213374,282.940403716808,252.152036310315,289.384059619867
270.901853494022,258.135379078546,283.668327909498,251.377215752855,290.42649123519
271.035659022953,257.701511376567,284.36980666934,250.642839994753,291.428478051153
271.169464551884,257.290843658212,285.048085445556,249.94394554975,292.394983554019
271.303270080815,256.900744525729,285.705795635901,249.276508042262,293.330032119369
271.437075609746,256.529045330077,286.345105889416,248.637210809793,294.236940409699
271.570881138677,256.173933672566,286.967828604788,248.023282027744,295.11848024961
271.704686667608,255.833876488893,287.575496846324,247.432377076589,295.976996258627
271.838492196539,255.507563252249,288.169421140829,246.862491678535,296.814492714544
271.97229772547,255.193863214525,288.750732236416,246.311896503579,297.632698947361
272.106103254401,254.891792664293,289.32041384451,245.779087094921,298.433119413881
272.239908783332,254.600489474654,289.87932809201,245.262744943251,299.217072623413
272.373714312263,254.319193050208,290.428235574318,244.761706818282,299.985721806244
272.507519841194,254.047228336003,290.967811346385,244.274940312559,300.74009936983
272.641325370125,253.78399292592,291.49865781433,243.801524125425,301.481126614825
272.775130899056,253.528946566417,292.021315231695,243.34063201039,302.209629787722
272.908936427987,253.281602533121,292.536270322853,242.89151958676,302.926353269214
273.042741956918,253.041520487338,293.043963426498,242.453513414619,303.631970499218
273.176547485849,252.808300513421,293.544794458277,242.026001875762,304.327093095936
273.31035301478,252.58157810683,294.03912792273,241.608427508603,305.012278520957
273.444158543711,252.361019933934,294.527297153489,241.200280523345,305.688036564077
