"Date","ARIMA","ETS","Average"
2025-11-12,273.606365795794,273.470180209439,273.538273002617
2025-11-13,273.742730591588,273.470180209439,273.606455400514
2025-11-14,273.879095387382,273.470180209439,273.674637798411
2025-11-15,274.015460183177,273.470180209439,273.742820196308
2025-11-16,274.151824978971,273.470180209439,273.811002594205
2025-11-17,274.288189774765,273.470180209439,273.879184992102
2025-11-18,274.424554570559,273.470180209439,273.947367389999
2025-11-19,274.560919366353,273.470180209439,274.015549787896
2025-11-20,274.697284162147,273.470180209439,274.083732185793
2025-11-21,274.833648957942,273.470180209439,274.15191458369
2025-11-22,274.970013753736,273.470180209439,274.220096981588
2025-11-23,275.10637854953,273.470180209439,274.288279379485
2025-11-24,275.242743345324,273.470180209439,274.356461777382
2025-11-25,275.379108141118,273.470180209439,274.424644175279
2025-11-26,275.515472936912,273.470180209439,274.492826573176
2025-11-27,275.651837732707,273.470180209439,274.561008971073
2025-11-28,275.788202528501,273.470180209439,274.62919136897
2025-11-29,275.924567324295,273.470180209439,274.697373766867
2025-11-30,276.060932120089,273.470180209439,274.765556164764
2025-12-01,276.197296915883,273.470180209439,274.833738562661
2025-12-02,276.333661711677,273.470180209439,274.901920960558
2025-12-03,276.470026507472,273.470180209439,274.970103358455
2025-12-04,276.606391303266,273.470180209439,275.038285756352
2025-12-05,276.74275609906,273.470180209439,275.10646815425
2025-12-06,276.879120894854,273.470180209439,275.174650552147
2025-12-07,277.015485690648,273.470180209439,275.242832950044
2025-12-08,277.151850486442,273.470180209439,275.311015347941
2025-12-09,277.288215282236,273.470180209439,275.379197745838
2025-12-10,277.424580078031,273.470180209439,275.447380143735
2025-12-11,277.560944873825,273.470180209439,275.515562541632
