Date,Close,High,Low,Open,Volume
2020-01-02,72.468277,72.528597,71.223274,71.476615,135480400
2020-01-03,71.763741,72.523769,71.539352,71.696183,146322800
2020-01-06,72.335548,72.374154,70.634532,70.885464,118387200
2020-01-07,71.995369,72.600975,71.775804,72.345220,108872000
2020-01-08,73.153503,73.455103,71.698589,71.698589,132079200
2020-01-09,74.707321,74.900342,73.879735,74.130660,170108400
2020-01-10,74.876221,75.440821,74.374363,74.941371,140644800
2020-01-13,76.475906,76.502451,75.074074,75.192306,121532000
2020-01-14,75.443237,76.623097,75.320190,76.413185,161954400
2020-01-15,75.119926,76.123650,74.688034,75.242981,121923600
2020-01-16,76.060913,76.171907,75.300884,75.662804,108829200
2020-01-17,76.902977,76.905385,76.003002,76.309424,137816400
2020-01-21,76.381821,76.972951,76.244290,76.531413,110843200
2020-01-22,76.654465,77.206989,76.560362,76.866784,101832400
2020-01-23,77.023613,77.103232,76.159829,76.707538,104472000
2020-01-24,76.801628,78.012848,76.611015,77.269711,146537600
2020-01-27,74.543251,75.223653,73.561242,74.811068,161940000
2020-01-28,76.652039,76.823345,75.325002,75.423928,162234000
2020-01-29,78.256546,79.103439,77.542361,78.283091,216229200
2020-01-30,78.143166,78.196247,76.907816,77.339708,126743200
2020-01-31,74.678406,77.856052,74.384045,77.433813,199588400
2020-02-03,74.473297,75.638673,72.919457,73.421315,173788400
2020-02-04,76.931923,77.122536,75.672444,76.077792,136616400
2020-02-05,77.559265,78.357899,76.956067,78.058708,118826800
2020-02-06,78.466476,78.468892,77.272148,77.829503,105425600
2020-02-07,77.399895,78.214935,76.908935,77.965828,117684000
2020-02-10,77.767509,77.767509,75.905253,75.985061,109348800
2020-02-11,77.298317,78.335864,77.080652,78.263311,94323200
2020-02-12,79.133980,79.138814,77.748165,77.748165,113730400
2020-02-13,78.570450,78.896951,78.202837,78.405992,94747600
2020-02-14,78.589813,78.838921,78.081923,78.539019,80113600
2020-02-18,77.150803,77.332192,76.089069,76.270458,152531200
2020-02-19,78.268150,78.497913,77.392647,77.392647,93984000
2020-02-20,77.465187,78.517245,76.959717,78.028706,100566000
2020-02-21,75.711761,77.501472,75.095042,77.058879,129554000
2020-02-24,72.115440,73.566553,69.950869,71.892941,222195200
2020-02-25,69.672722,73.167486,69.201115,72.785363,230673600
2020-02-26,70.777977,72.042865,69.290589,69.297844,198054800
2020-02-27,66.151360,69.169675,66.015923,67.984602,320605600
2020-02-28,66.112656,67.334013,62.003593,62.218845,426510000
2020-03-02,72.267807,72.903879,67.167148,68.269993,341397200
2020-03-03,69.972626,73.523011,69.121302,73.443204,319475600
2020-03-04,73.218262,73.377885,70.894068,71.694597,219178400
2020-03-05,70.843292,72.446765,70.478093,71.472102,187572800
2020-03-06,69.902489,70.335406,68.016046,68.202269,226176800
2020-03-09,64.373772,67.256644,63.607097,63.788486,286744800
2020-03-10,69.010063,69.276102,65.147686,67.026881,285290000
2020-03-11,66.613281,68.013606,65.749868,67.087316,255598800
2020-03-12,60.034924,65.300043,59.979299,61.899604,418474000
2020-03-13,67.227615,67.699230,61.176476,64.064194,370732000
2020-03-16,58.578968,62.659006,58.044474,58.516084,322423600
2020-03-17,61.154701,62.303495,57.657519,59.860791,324056000
2020-03-18,59.657631,60.462999,57.347944,57.988854,300233600
2020-03-19,59.200539,61.149865,58.675720,59.831773,271857200
2020-03-20,55.442154,60.905590,55.142256,59.780976,401693200
2020-03-23,54.264339,55.263190,51.420161,55.161612,336752800
