"Date","ARIMA","STLF","Combined"
2025-12-13,278.418034004068,269.277371585488,273.847702794778
2025-12-14,278.556069008135,269.573642116838,274.064855562487
2025-12-15,278.694104012203,270.6255451097,274.659824560951
2025-12-16,278.832139016271,271.68403638961,275.25808770294
2025-12-17,278.970174020339,273.435434991497,276.202804505918
2025-12-18,279.108209024407,274.663987039254,276.88609803183
2025-12-19,279.246244028474,274.285288668092,276.765766348283
2025-12-20,279.384279032542,275.600679264405,277.492479148474
2025-12-21,279.52231403661,275.368642817385,277.445478426998
2025-12-22,279.660349040677,273.749418809291,276.704883924984
2025-12-23,279.798384044745,273.254080194959,276.526232119852
2025-12-24,279.936419048813,273.224586534894,276.580502791853
2025-12-25,280.074454052881,273.296816652454,276.685635352667
2025-12-26,280.212489056949,273.67232334915,276.942406203049
2025-12-27,280.350524061016,272.719102709986,276.534813385501
2025-12-28,280.488559065084,270.34164925201,275.415104158547
2025-12-29,280.626594069152,269.634798879004,275.130696474078
2025-12-30,280.76462907322,270.789926277074,275.777277675147
2025-12-31,280.902664077287,270.516212804327,275.709438440807
2026-01-01,281.040699081355,270.335898115256,275.688298598305
2026-01-02,281.178734085423,273.042156988328,277.110445536875
2026-01-03,281.316769089491,271.550966447724,276.433867768607
2026-01-04,281.454804093558,272.726858525582,277.09083130957
2026-01-05,281.592839097626,267.661417972903,274.627128535265
2026-01-06,281.730874101694,267.166656104681,274.448765103187
2026-01-07,281.868909105762,266.638573631323,274.253741368542
2026-01-08,282.006944109829,266.301152502328,274.154048306078
2026-01-09,282.144979113897,267.175947458852,274.660463286375
2026-01-10,282.283014117965,267.422296466489,274.852655292227
2026-01-11,282.421049122033,268.688272074118,275.554660598075
